drug_code,dpd_url,pm_update_date,fetch_status,checked_on,pm_update_date_old,has_changed
93437.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93437.0,,HTTP_400,2026-05-02,,0
93438.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93438.0,,HTTP_400,2026-05-02,,0
93439.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93439.0,,HTTP_400,2026-05-02,,0
93699.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93699.0,,HTTP_400,2026-05-02,,0
93700.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93700.0,,HTTP_400,2026-05-02,,0
93701.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93701.0,,HTTP_400,2026-05-02,,0
93702.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93702.0,,HTTP_400,2026-05-02,,0
93703.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93703.0,,HTTP_400,2026-05-02,,0
94054.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=94054.0,,HTTP_400,2026-05-02,,0
94055.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=94055.0,,HTTP_400,2026-05-02,,0
94056.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=94056.0,,HTTP_400,2026-05-02,,0
94057.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=94057.0,,HTTP_400,2026-05-02,,0
94108.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=94108.0,,HTTP_400,2026-05-02,,0
94484.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=94484.0,,HTTP_400,2026-05-02,,0
95045.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95045.0,,HTTP_400,2026-05-02,,0
95046.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95046.0,,HTTP_400,2026-05-02,,0
95062.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95062.0,,HTTP_400,2026-05-02,,0
95063.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95063.0,,HTTP_400,2026-05-02,,0
95355.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95355.0,,HTTP_400,2026-05-02,,0
