drug_code,pm_update_date,detected_on,dpd_url
90658,2024-05-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90658
90659,2024-05-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90659
90660,2024-05-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90660
90733,2024-11-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90733
90870,2022-03-01,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90870
90871,2022-03-01,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=90871
91058,2024-05-17,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91058
91059,2024-05-17,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91059
91060,2025-05-26,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91060
91148,2025-03-28,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91148
91165,2024-08-01,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91165
91325,2023-05-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91325
91539,2020-03-31,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91539
91540,2020-03-31,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91540
91541,2020-03-31,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=91541
92194,2025-12-31,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92194
92195,2025-12-31,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92195
92207,2024-10-15,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92207
92244,2017-04-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92244
92245,2017-04-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92245
92372,2021-02-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92372
92373,2021-02-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92373
92754,2025-12-31,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=92754
93169,2023-11-30,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93169
93170,2023-11-30,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93170
93437,2017-06-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93437
93438,2017-06-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93438
93439,2017-06-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93439
93440,2017-06-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93440
93699,2022-02-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93699
93700,2022-02-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93700
93701,2022-02-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93701
93702,2022-02-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93702
93703,2022-02-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=93703
94054,2026-01-30,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=94054
94055,2026-01-30,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=94055
94056,2026-01-30,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=94056
94057,2026-01-30,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=94057
94108,2023-08-21,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=94108
94484,2022-03-23,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=94484
95045,2024-10-15,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95045
95046,2024-10-15,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95046
95355,2025-08-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95355
95356,2025-08-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95356
95357,2025-08-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95357
95358,2025-08-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95358
95359,2025-08-05,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95359
95533,2025-05-02,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=95533
96300,2020-01-22,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=96300
96400,2020-06-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=96400
96401,2020-06-16,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=96401
96501,2025-02-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=96501
96502,2025-02-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=96502
96503,2025-02-12,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=96503
97082,2019-12-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97082
97083,2019-12-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97083
97084,2019-12-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97084
97439,2026-02-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97439
97440,2026-02-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97440
97441,2026-02-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97441
97442,2026-02-25,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=97442
98137,2019-08-06,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=98137
98239,2025-05-26,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=98239
98240,2025-05-26,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=98240
98610,2022-06-09,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=98610
99838,2025-07-15,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99838
99859,2020-12-03,2026-03-05,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99859
103931,2024-08-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=103931
103932,2024-08-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=103932
85700,2024-06-03,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=85700
85701,2024-06-03,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=85701
85702,2024-06-03,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=85702
85857,2023-07-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=85857
86554,2022-07-14,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=86554
88430,2023-11-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88430
88431,2023-11-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88431
88432,2023-11-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88432
88628,2024-08-29,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88628
88629,2024-08-29,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88629
88696,2025-12-29,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88696
88697,2025-12-29,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=88697
90695,2023-02-02,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90695
90696,2023-02-02,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90696
91167,2025-11-25,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=91167
93136,2021-07-07,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93136
93137,2021-07-07,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=93137
95062,2017-03-31,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95062
95063,2017-03-31,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95063
99162,2024-05-06,2026-03-27,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=99162
103802,2026-03-30,2026-04-01,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=103802
90466,2026-04-13,2026-04-16,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90466
90467,2026-04-13,2026-04-16,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=90467
87120,2026-04-17,2026-04-23,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=87120
87121,2026-04-17,2026-04-23,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=87121
95533,2026-04-17,2026-04-23,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95533
